word;3gab.txt;3gar.txt;3stu.txt;abbe.txt;advs.txt;bery.txt;blac.txt;blan.txt;blue.txt;bosc.txt;bruc.txt;cano.txt;card.txt;case.txt;chas.txt;cnus.txt;copp.txt;cree.txt;croo.txt;danc.txt;devi.txt;dyin.txt;empt.txt;engr.txt;fina.txt;five.txt;glor.txt;gold.txt;gree.txt;houn.txt;iden.txt;illu.txt;lady.txt;last.txt;lion.txt;lstb.txt;maza.txt;mems.txt;miss.txt;musg.txt;nava.txt;nobl.txt;norw.txt;prio.txt;redc.txt;redh.txt;reig.txt;resi.txt;reti.txt;retn.txt;scan.txt;seco.txt;shos.txt;sign.txt;silv.txt;sixn.txt;soli.txt;spec.txt;stoc.txt;stud.txt;suss.txt;thor.txt;twis.txt;vall.txt;veil.txt;wist.txt;yell.txt
000;0;0;0;0;5;1;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;2;1;2;1;1;1;1;1;2;9;1;1;1;9;1;1;1;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;2;1;1;1;1;4;1;1;1;1;1;1;1
10;1;0;0;0;1;0;0;0;0;0;0;7;0;2;0;5;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
100;0;0;0;0;3;0;0;0;1;0;0;4;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1000;0;0;0;0;8;5;0;0;1;0;0;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
104;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10s;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10th;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;4;0;0;0;0;1;1;9;0;0;0;9;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
