name;unique;total;ratio
Cartman;8938;139144;0.0642356120278273
Stan;5130;74136;0.06919715118161217
Kyle;5126;68514;0.0748168257582392
Randy;3758;33450;0.11234678624813153
Butters;3649;31826;0.1146546848488657
Mr. Garrison;2437;16007;0.15224589242206535
Announcer;2067;7882;0.26224308551129155
Chef;1923;11946;0.1609743847312908
Mr. Mackey;1888;11727;0.16099599215485633
Jimmy;1663;9397;0.17697137384271577
Jimbo;1525;7422;0.205470223659391
Sharon;1502;9195;0.16334964654703643
Narrator;1483;5034;0.2945967421533572
Gerald;1441;7293;0.1975867269984917
Reporter;1344;4049;0.3319338108174858
Wendy;1317;6540;0.20137614678899082
Sheila;1192;6067;0.1964727212790506
Liane;1115;5638;0.1977651649521107
Stephen;1107;5068;0.21842936069455407
Mrs. Garrison;1077;5285;0.20378429517502364
Jesus;1031;4006;0.25736395406889667
Kenny;1021;4533;0.22523714979042578
Principal Victoria;1001;4065;0.24624846248462484
Mayor;926;3504;0.2642694063926941
Michael;876;3208;0.2730673316708229
Field Reporter;864;2545;0.33948919449901765
Craig;842;3230;0.2606811145510836
Doctor;831;2751;0.302071973827699
Anchor;829;2050;0.40439024390243905
Satan;796;3064;0.2597911227154047
Clyde;778;2705;0.28761552680221814
Dr. Doctor;770;2585;0.2978723404255319
Linda;738;2864;0.25768156424581007
Token;727;2609;0.2786508240705251
Terrance;703;2573;0.2732219199378158
Coon;702;2577;0.2724097788125728
Woman;690;2002;0.34465534465534464
Ms. Choksondik;687;2540;0.2704724409448819
Man;679;1971;0.34449518011161845
Tom;664;1731;0.3835932986712883
Scott;661;2288;0.2888986013986014
Chris;660;2557;0.2581149784904185
Bebe;659;2173;0.30326737229636447
Mephesto;640;2080;0.3076923076923077
President;621;1565;0.39680511182108624
Phillip;619;1981;0.31246845027763753
Mr. Hankey;612;2082;0.29394812680115273
Officer Barbrady;603;1854;0.32524271844660196
Yates;597;2056;0.2903696498054475
General;587;1839;0.3191952147906471
Barbrady;575;1591;0.36140791954745444
Stuart;573;1614;0.3550185873605948
Pip;569;1993;0.28549924736578025
Mayor McDaniels;553;1501;0.3684210526315789
Priest Maxi;549;1702;0.3225616921269095
Shelly;524;1816;0.28854625550660795
Tweek;522;1653;0.3157894736842105
Ike;498;1283;0.3881527669524552
Mysterion;494;1515;0.32607260726072607
Clerk;492;1321;0.372445117335352
Pete;485;1413;0.343241330502477
Man 1;473;1101;0.4296094459582198
Mark;469;1389;0.33765298776097913
Obama;454;997;0.45536609829488467
News Anchor;452;976;0.46311475409836067
Singer;452;1279;0.3534010946051603
Thomas;444;1321;0.336109008327025
Steven;440;1086;0.40515653775322286
Producer;439;1090;0.40275229357798165
Skeeter;434;1073;0.4044734389561976
Nathan;434;1468;0.2956403269754768
Kanye;431;1642;0.2624847746650426
Man 2;418;950;0.44
Driver;409;981;0.4169215086646279
Anchorman;403;824;0.4890776699029126
Big Gay Al;403;1089;0.37006427915518825
Marvin;396;924;0.42857142857142855
Russell Crowe;395;1074;0.36778398510242083
Steve;392;1188;0.32996632996632996
Towelie;387;1445;0.26782006920415224
Saddam;386;1079;0.3577386468952734
Minister;379;961;0.39438085327783556
Rob Reiner;379;1092;0.34706959706959706
Henrietta;378;905;0.4176795580110497
Officer 1;378;857;0.441073512252042
Joe;374;925;0.4043243243243243
Mrs. McCormick;373;979;0.38100102145045966
Sgt. Yates;370;900;0.4111111111111111
Rick;368;924;0.39826839826839827
Tuong Lu Kim;367;1067;0.34395501405810686
Al Gore;358;998;0.3587174348697395
Gary;357;954;0.3742138364779874
Director;352;901;0.390677025527192
The Coon;352;996;0.3534136546184739
Host;347;723;0.47994467496542187
Singers;345;1307;0.26396327467482783
Judge;343;757;0.45310435931307796
Mr. Connolly;342;796;0.4296482412060301
Manager;342;898;0.38084632516703787
Josh;342;772;0.4430051813471503
Larry;339;790;0.4291139240506329
Michael Chertoff;338;862;0.39211136890951276
Janet;332;802;0.4139650872817955
Dean;330;811;0.406905055487053
Tom Cruise;325;965;0.33678756476683935
Santa;324;861;0.37630662020905925
Dr. Chinstrap;323;824;0.3919902912621359
Peter;322;639;0.5039123630672926
Tour Guide;322;694;0.46397694524495675
Mingie;321;845;0.37988165680473374
Agent;317;655;0.48396946564885496
Brian;311;689;0.4513788098693759
Receptionist;308;683;0.45095168374816985
Kyle Two;308;802;0.38403990024937656
Mint-Berry Crunch;307;614;0.5
Skyler;307;767;0.4002607561929596
Richard;307;732;0.41939890710382516
Jared;306;803;0.38107098381070986
Stephen Abootman;304;923;0.3293607800650054
Niles;302;668;0.45209580838323354
Dr. Janus;301;832;0.36177884615384615
