matrix,row,column,value
A,0,0,87
A,0,1,75
A,0,2,62
A,0,3,13
A,0,4,11
A,0,5,98
A,0,6,97
A,0,7,18
A,0,8,73
A,0,9,2
A,1,0,37
A,1,1,14
A,1,2,96
A,1,3,42
A,1,4,29
A,1,5,21
A,1,6,84
A,1,7,24
A,1,8,14
A,1,9,76
A,2,0,49
A,2,1,89
A,2,2,61
A,2,3,78
A,2,4,42
A,2,5,37
A,2,6,82
A,2,7,38
A,2,8,65
A,2,9,1
A,3,0,9
A,3,1,33
A,3,2,17
A,3,3,78
A,3,4,75
A,3,5,45
A,3,6,5
A,3,7,60
A,3,8,90
A,3,9,98
A,4,0,66
A,4,1,78
A,4,2,5
A,4,3,5
A,4,4,34
A,4,5,4
A,4,6,4
A,4,7,86
A,4,8,46
A,4,9,43
A,5,0,34
A,5,1,32
A,5,2,27
A,5,3,1
A,5,4,47
A,5,5,45
A,5,6,50
A,5,7,6
A,5,8,17
A,5,9,11
A,6,0,99
A,6,1,17
A,6,2,39
A,6,3,58
A,6,4,10
A,6,5,49
A,6,6,37
A,6,7,52
A,6,8,12
A,6,9,63
A,7,0,64
A,7,1,46
A,7,2,32
A,7,3,97
A,7,4,17
A,7,5,16
A,7,6,35
A,7,7,2
A,7,8,39
A,7,9,73
A,8,0,2
A,8,1,92
A,8,2,32
A,8,3,58
A,8,4,53
A,8,5,42
A,8,6,64
A,8,7,8
A,8,8,24
A,8,9,27
A,9,0,89
A,9,1,58
A,9,2,13
A,9,3,49
A,9,4,37
A,9,5,59
A,9,6,99
A,9,7,9
A,9,8,17
A,9,9,12
B,0,0,18
B,0,1,38
B,0,2,63
B,0,3,3
B,0,4,80
B,0,5,69
B,0,6,21
B,0,7,13
B,0,8,69
B,0,9,41
B,1,0,26
B,1,1,72
B,1,2,27
B,1,3,41
B,1,4,99
B,1,5,95
B,1,6,86
B,1,7,47
B,1,8,32
B,1,9,69
B,2,0,63
B,2,1,64
B,2,2,63
B,2,3,35
B,2,4,45
B,2,5,86
B,2,6,35
B,2,7,12
B,2,8,10
B,2,9,14
B,3,0,49
B,3,1,77
B,3,2,52
B,3,3,53
B,3,4,75
B,3,5,79
B,3,6,46
B,3,7,22
B,3,8,1
B,3,9,2
B,4,0,94
B,4,1,5
B,4,2,71
B,4,3,40
B,4,4,100
B,4,5,72
B,4,6,15
B,4,7,95
B,4,8,26
B,4,9,29
B,5,0,51
B,5,1,98
B,5,2,45
B,5,3,9
B,5,4,73
B,5,5,46
B,5,6,10
B,5,7,61
B,5,8,7
B,5,9,48
B,6,0,88
B,6,1,24
B,6,2,16
B,6,3,20
B,6,4,5
B,6,5,49
B,6,6,32
B,6,7,22
B,6,8,91
B,6,9,71
B,7,0,33
B,7,1,42
B,7,2,17
B,7,3,71
B,7,4,50
B,7,5,37
B,7,6,36
B,7,7,70
B,7,8,26
B,7,9,98
B,8,0,94
B,8,1,71
B,8,2,94
B,8,3,53
B,8,4,74
B,8,5,94
B,8,6,20
B,8,7,96
B,8,8,92
B,8,9,93
B,9,0,79
B,9,1,76
B,9,2,65
B,9,3,40
B,9,4,40
B,9,5,23
B,9,6,26
B,9,7,69
B,9,8,33
B,9,9,57
